Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
cps meaning,1,0,5400,63,0.00,informational,https://www.tullylegal.com/resources/articles/what-to-do-if-you-get-a-call-from-child-protective-services/,221,1.28,0.00,0,73700000,"[100,81,81,81,81,66,66,81,81,100,66,66]",2026-04-25,People also ask,,
maryland minimum wage 2025,1,0,8100,37,1.81,informational,https://www.tullylegal.com/resources/articles/how-a-minimum-wage-hike-in-maryland-could-impact-employers/,178,1.03,322.00,0.01,125,"[81,81,81,100,100,66,100,81,81,54,66,54]",2026-04-26,People also ask,,
public trust clearance,1,0,5400,49,4.13,informational,https://www.tullylegal.com/resources/articles/what-happens-when-a-federal-employee-fails-a-background-check/,175,1.01,722.00,0.01,97400000,"[81,81,54,44,44,54,44,66,54,54,36,29]",2026-04-30,Things to know,,
military attorney,2,15,1300,48,15.93,informational,https://www.tullylegal.com/legal-services/military-law/,104,0.61,1688.00,0.52,150,"[27,36,36,24,36,66,44,36,27,24,36,24]",2026-04-01,Organic,,"Local pack, People also ask"
business formation attorney near me,1,0,390,4,8.02,transactional,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,96,0.55,769.00,0.5,47100000,"[29,36,67,54,44,44,81,100,36,29,12,12]",2026-04-11,Local pack,,
secret clearance,1,0,3600,41,5.99,informational,https://www.tullylegal.com/resources/articles/7-deadly-sins-for-security-clearance-holders-and-applicants/,79,0.45,473.00,0.08,113000000,"[100,100,100,81,81,65,65,65,65,65,54,54]",2026-04-27,Things to know,,
pete hegseth brother,1,0,1300,42,0.00,informational,https://www.tullylegal.com/our-firm/news/hegseths-younger-brother-is-serving-in-a-key-role-as-liaison-and-senior-adviser-inside-the-pentagon/,78,0.45,0.00,0,3480000,"[53,4,100,66,4,3,2,13,4,3,2,4]",2026-04-06,AI overview,,
employment lawyers in dc,1,0,590,58,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,77,0.44,378.00,0.68,240000000,"[13,20,34,34,16,100,7,4,7,11,8,7]",2026-04-14,Local pack,,
family law lawyer near me,5,43,8100,50,7.19,transactional,https://www.tullylegal.com/albany-family/,72,0.41,517.00,0.54,375000000,"[13,19,24,29,16,36,81,100,66,54,54,29]",2026-04-25,Organic,Discussions and forums,
military lawyers,4,15,2400,59,15.93,commercial,https://www.tullylegal.com/legal-services/military-law/,69,0.41,1146.00,0.52,116000000,"[13,100,8,10,8,10,15,10,23,19,19,13]",2026-04-25,Organic,"Discussions and forums, Ads middle, AI overview",Local pack
public trust clearance,1,0,5400,49,4.13,informational,https://www.tullylegal.com/resources/articles/7-deadly-sins-for-security-clearance-holders-and-applicants/,64,0.37,264.00,0.01,97400000,"[81,81,54,44,44,54,44,66,54,54,36,29]",2026-04-30,Things to know,,
rinckey,3,0,720,44,3.35,"informational, transactional",https://www.tullylegal.com/locations/syracuse-ny/,59,0.34,197.00,0.31,0,"[20,66,100,54,41,13,10,13,20,13,16,16]",2026-03-11,Organic,,
labor law attorneys in washington dc,1,0,720,50,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,59,0.34,290.00,0.68,179000000,"[10,81,81,81,36,100,8,8,62,36,45,30]",2026-03-30,Local pack,,
family law offices near me,3,0,1900,52,7.19,transactional,https://www.tullylegal.com/albany-family/,57,0.33,409.00,0.54,1530000000,"[8,8,8,7,4,3,10,10,4,7,3,4]",2026-04-28,Organic,,
traffic infraction lawyers,3,0,1300,13,5.11,commercial,https://www.tullylegal.com/buffalo-criminal/traffic-lawyer/,57,0.33,291.00,0.33,0,"[1,3,1,0,1,2,1,2,100,0,1,3]",2026-03-11,Organic,,
washington dc attorney,1,0,210,56,8.75,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,52,0.3,455.00,0.61,0,"[6,8,6,3,100,0,10,8,3,10,6,10]",2026-03-14,Local pack,,
