Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
military divorce attorney,3,4,4400,17,11.63,https://www.tullylegal.com/legal-services/military-law/military-divorce/,132,0.78,1535.00,0.05,28000000,"[3,3,5,7,7,4,13,100,7,5,5,5]",2026-05-05,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
grey divorce,1,1,4400,54,0.03,https://www.tullylegal.com/resources/articles/what-is-gray-divorce-and-how-can-it-affect-assets-and-retirement-planning/,77,0.45,2.00,0.27,129,"[10,8,10,8,19,8,16,16,24,29,19,13]",2026-05-02,"Video, Image, People also ask, Related searches, Short videos, Things to know, Discussions and forums, AI overview",informational,Things to know
attorney military divorce,1,1,1300,10,11.63,https://www.tullylegal.com/legal-services/military-law/military-divorce/,45,0.26,523.00,0.05,69800000,"[8,68,68,84,100,100,2,68,84,68,100,100]",2026-04-03,"Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
military divorce lawyer,4,4,2900,32,10.83,https://www.tullylegal.com/legal-services/military-law/military-divorce/,26,0.15,281.00,0.08,36300000,"[8,29,29,44,29,24,36,36,24,19,19,16]",2026-05-03,"Local pack, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
uncontested divorce in new york,1,1,390,34,3.64,https://www.tullylegal.com/resources/articles/what-is-required-for-an-uncontested-divorce-in-new-york-state/,13,0.07,47.00,0.72,1490000,"[2,1,2,0,76,3,5,10,36,67,76,45]",2026-03-20,"Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
new york state uncontested divorce,8,8,390,29,3.64,https://www.tullylegal.com/resources/articles/what-is-required-for-an-uncontested-divorce-in-new-york-state/,9,0.05,32.00,0.72,1310000,"[13,45,36,67,20,20,55,24,10,30,20,16]",2026-03-27,"Video, Related searches",informational,Organic
steps of filing divorce,7,7,320,36,1.52,https://www.tullylegal.com/resources/articles/how-to-file-for-divorce-step-by-step-guide/,7,0.04,10.00,0.55,16600000,"[100,35,22,22,66,81,81,100,81,66,66,81]",2026-03-11,"Sitelinks, Video, Related searches, AI overview",informational,Organic
ny divorce records,1,1,210,43,0.98,https://www.tullylegal.com/resources/articles/are-new-york-divorce-records-public/,7,0.04,6.00,0.3,141000000,"[17,17,26,21,21,21,26,26,21,26,17,17]",2026-03-20,"Video, Related searches, AI overview",informational,AI overview
military divorce disability benefits attorney,3,3,90,11,0.00,https://www.tullylegal.com/legal-services/military-law/military-divorce/,7,0.04,0.00,0,157,"[6,3,3,3,3,6,43,53,43,81,100,28]",2026-03-12,"Local pack, Sitelinks, Video, Related searches",informational,Organic
are divorce records public,13,0,4400,23,0.73,https://www.tullylegal.com/resources/articles/are-divorce-records-public-in-new-york/,6,0.03,4.00,0.32,175,"[100,66,81,66,66,81,81,100,66,81,66,66]",2026-05-05,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
divorce litigation vs mediation,3,3,90,0,1.29,https://www.tullylegal.com/resources/articles/mediation-vs-litigation-choosing-the-right-path-for-your-divorce/,5,0.02,6.00,0.19,11000000,"[52,41,41,41,41,29,100,82,52,41,64,52]",2026-03-20,"Sitelinks, Video, Video Carousel, Discussions and forums, AI overview","commercial, informational",Organic
military divorce benefits attorney,3,3,90,2,0.00,https://www.tullylegal.com/legal-services/military-law/military-divorce/,5,0.02,0.00,0,151,"[6,3,3,3,6,9,43,53,43,81,100,28]",2026-03-12,"Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic
wife moved out before divorce,3,3,140,4,1.51,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,4,0.02,6.00,0.11,208000000,"[23,19,19,19,23,23,23,23,29,23,15,15]",2026-04-26,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
